N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypercube,10,4.4,0.9999999972038427,-4.653055878790481,-4.653055889416986,-4.653055889413236
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4615384615384617,0.9906383480886992,-4.653055878118649,-4.653055889416215,-4.65305588933878
4,QAOA,TFIM,-1,2,6,hypercube,10,3.6666666666666665,0.9999999948207263,-4.653055871966411,-4.653055889412582,-4.653055889415715
4,QAOA,TFIM,-1,2,6,hypercube,10,4.0,0.9999999973677635,-4.653055879223461,-4.6530558894174785,-4.653055889008942
4,QAOA,TFIM,-1,2,6,hypercube,10,7.142857142857143,0.9999999990079174,-4.653055885607098,-4.653055889415435,-4.6530558880515525
4,QAOA,TFIM,-1,2,6,hypercube,10,2.8823529411764706,0.9999999622224046,-4.653055684163664,-4.653055889417184,-4.653055889413395
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6470588235294117,0.9906301117223741,-4.653055759983856,-4.653055889416587,-4.653055889413021
4,QAOA,TFIM,-1,2,6,hypercube,10,2.8461538461538463,0.9906410377931403,-4.6530557741181005,-4.653055889416936,-4.653055889394459
4,QAOA,TFIM,-1,2,6,hypercube,10,2.923076923076923,0.9999999872560144,-4.6530558602093475,-4.653055889416986,-4.653055889416658
4,QAOA,TFIM,-1,2,6,hypercube,10,3.5,0.9999999983566735,-4.65305588494738,-4.6530558894159215,-4.6530558894160094
4,QAOA,TFIM,-1,2,6,hypercube,10,2.0,0.9999999867381567,-4.653055841252827,-4.653055889407582,-4.653055889415564
4,QAOA,TFIM,-1,2,6,hypercube,10,2.7857142857142856,0.9999999966675208,-4.653055874688519,-4.653055889412862,-4.653055889365794
4,QAOA,TFIM,-1,2,6,hypercube,10,2.1538461538461537,0.9999999710703193,-4.653055825120979,-4.653055889409129,-4.653055889401335
4,QAOA,TFIM,-1,2,6,hypercube,10,1.4375,0.9999999913004817,-4.653055844113572,-4.65305588941138,-4.653055889414811
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2666666666666666,0.999999994301489,-4.653055868916978,-4.6530558894138085,-4.653055889377814
4,QAOA,TFIM,-1,2,6,hypercube,10,1.411764705882353,0.9999999968529467,-4.65305586917229,-4.653055889415339,-4.653055889406938
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7647058823529411,0.9906371024422084,-4.653055836414285,-4.653055889415843,-4.6530558894132605
4,QAOA,TFIM,-1,2,6,hypercube,10,1.2,0.09558695819635421,-4.653055856252543,-1.999999999170079,-4.653055889390165
4,QAOA,TFIM,-1,2,6,hypercube,10,1.105263157894737,0.09580446799306165,-4.653055638195995,-1.9999999998588707,-4.653055889410299
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6,0.9906421335526164,-4.653055846224749,-4.653055889411781,-4.653055889402049
4,QAOA,TFIM,-1,2,6,hypercube,10,3.857142857142857,0.9999999987098351,-4.653055884822603,-4.653055889407079,-4.653055887719495
4,QAOA,TFIM,-1,2,6,hypercube,10,2.0,0.9906366995476843,-4.6530558797773285,-4.653055889417411,-4.653055889412422
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8823529411764706,0.9906419048265893,-4.653055585201022,-4.653055889415155,-4.653055889403859
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6875,0.9906447310176492,-4.653055631940937,-4.653055889411405,-4.65305588940928
4,QAOA,TFIM,-1,2,6,hypercube,10,1.9375,0.9999999938314771,-4.6530558680716725,-4.653055889413579,-4.653055889413713
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2,0.9999999972364187,-4.653055878729338,-4.653055889417278,-4.653055889414867
4,QAOA,TFIM,-1,2,6,hypercube,10,1.588235294117647,0.9999999698424047,-4.6530557818239044,-4.653055889410503,-4.653055889399148
4,QAOA,TFIM,-1,2,6,hypercube,10,3.4,0.9999999375467529,-4.653055716244118,-4.653055889409073,-4.653055889393464
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7142857142857142,0.9999999970592107,-4.653055877459262,-4.653055889411962,-4.65305588896947
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7142857142857142,0.9906361997398953,-4.6530558276519125,-4.653055889416154,-4.6530558883695905
4,QAOA,TFIM,-1,2,6,hypercube,10,2.923076923076923,0.9906395814920951,-4.653055847291709,-4.653055889414016,-4.6530558894142455
4,QAOA,TFIM,-1,2,6,hypercube,10,5.142857142857143,0.9999999986929247,-4.653055884673131,-4.653055889417192,-4.653055887654903
4,QAOA,TFIM,-1,2,6,hypercube,10,3.6153846153846154,0.9999998754482928,-4.653055602174786,-4.653055889409704,-4.65305588939998
4,QAOA,TFIM,-1,2,6,hypercube,10,1.5555555555555556,0.0957662358520851,-4.6530557796053555,-1.99999999998832,-4.653055889398656
4,QAOA,TFIM,-1,2,6,hypercube,10,1.1428571428571428,0.09547725986012688,-4.653055851782639,-1.9999999978396616,-4.653055889400496
4,QAOA,TFIM,-1,2,6,hypercube,10,3.0,0.9999999938296112,-4.653055849559668,-4.653055889412854,-4.653055889415999
4,QAOA,TFIM,-1,2,6,hypercube,10,6.2,0.9999999995635604,-4.653055887577221,-4.6530558894167395,-4.653055888896874
4,QAOA,TFIM,-1,2,6,hypercube,10,3.0,0.9906366700267664,-4.653055866657611,-4.65305588941054,-4.653055889407715
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2666666666666666,0.990638455709575,-4.65305583216181,-4.653055889416055,-4.6530558894143805
4,QAOA,TFIM,-1,2,6,hypercube,10,1.5263157894736843,0.9999999710722101,-4.6530557001997614,-4.653055889401634,-4.6530558894163985
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4615384615384617,0.9906398772633789,-4.653055859278553,-4.653055889416107,-4.653055889405746
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2857142857142856,0.9999999849656143,-4.653055796032115,-4.653055889415152,-4.653055889318135
4,QAOA,TFIM,-1,2,6,hypercube,10,4.428571428571429,0.999999995896778,-4.6530558526422725,-4.653055889417559,-4.653055889394021
4,QAOA,TFIM,-1,2,6,hypercube,10,1.2666666666666666,0.095779758146326,-4.6530558319749575,-1.999999999984701,-4.653055889408784
4,QAOA,TFIM,-1,2,6,hypercube,10,1.625,0.9906316894696761,-4.653055828594365,-4.6530558894129035,-4.653055889406432
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7857142857142858,0.9999999774429982,-4.653055831802757,-4.653055889415623,-4.653055889413217
4,QAOA,TFIM,-1,2,6,hypercube,10,2.1666666666666665,0.9999992824324521,-4.653054567662103,-4.653055889417282,-4.653055889416663
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4375,0.9906388633937147,-4.653055780754293,-4.653055889414943,-4.653055889415807
